Niche,Macro_Category,Historical_Tender_ID,Title,Buyer_ID,Buyer_Name,Country,Warehouse_Source,Publication_Date,Deadline,Category,Subcategory,Currency,Official_Estimated_Value,Source_URL,Source_Reference
CMS development / migration,WEB_DIGITAL,ten_b6d69f4742b5fee43312,Konzeption und technische Implementierung eines Joomla!-basierten Intranets,,,Germany,Germany,2026-06-19,2026-07-09,Automation / software,IT services / software,EUR,,,
CMS development / migration,WEB_DIGITAL,ted_df5e97faea4e9afb4d08,"Oulun yliopisto, Drupal-julkaisujärjestelmän tukipalvelu-, ylläpito- ja jatkokehitystyö",buy_b25d30d271157ab27322,Oulun yliopisto,FIN,TED,2026-06-15,2026-08-21,Automation / software,IT services / software,,,,
CMS development / migration,WEB_DIGITAL,ted_2dd4417ba8fccab61ca8,Kampanjasivusto-julkaisualustan hankinta,buy_b25d30d271157ab27322,Vantaan kaupunki,FIN,TED,2026-06-08,2026-07-29,Automation / software,IT services / software,EUR,255000.0,,
CMS development / migration,WEB_DIGITAL,ten_009f55a9819c1e626299,Typo3 Entwickler/Systemspezialist (Senior Softwareentwickler),,,Germany,Germany,2026-06-08,2026-06-22,Automation / software,Software / automation,EUR,,,
Cataloguing / indexing / metadata,DATA_ADMIN,bel_3c750ec757e82243efb99b18,Location de copieurs multi-fonction et d'imprimantes pour l'administration communale,buy_1c77e4e9df8a14898ae51203,Verviers,BE,Belgium,2026-07-13,2026-08-24,,,,,https://www.publicprocurement.be/publication-workspaces/6d5785a4-1d97-4641-819e-54a02c2871f2,
Cataloguing / indexing / metadata,DATA_ADMIN,ten_729e69e6e8e9eb643950,"Prestations de catalogage dans le SUDOC pour la Direction de la Documentation, du Patrimoine et des Archives de l’Ecole Nationale des Ponts et Chaussées",buy_c7e239d548230356d440,Ecole Nationale des Ponts et Chaussées,France,France,2026-06-02,2026-02-03,Other,Services,EUR,,,
Cataloguing / indexing / metadata,DATA_ADMIN,ten_0eba120ff0637092b679,EUSST - Cataloguing,buy_9f97de04a4269610b8c0,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR),Germany,Germany,2026-05-15,2026-07-02,Other,UNKNOWN,EUR,,,
Cataloguing / indexing / metadata,DATA_ADMIN,ten_148b232492009b675957,RI-GSI-26-01 – Catalogage des données géospatiales,buy_59f73c393d8199c14a0e,Ville de Repentigny.,Canada - Quebec,Quebec,2026-04-08,,Creative / communications,Design / publishing,CAD,,,
Cataloguing / indexing / metadata,DATA_ADMIN,ted_443c1fa8b0284ea6869f,S-train spare parts and maintenance agreement,buy_ccb634a88b3b7aa188bd,DSB,DNK,TED,2026-02-24,,Automation / software,Software / automation,DKK,175000000.0,,
Cataloguing / indexing / metadata,DATA_ADMIN,ted_2c838809b8be02da9f99,Business development Sigdal municipality,buy_581df20f038735ed5497,SIGDAL KOMMUNE,NOR,TED,2025-12-12,,Other,UNKNOWN,,,,
Cataloguing / indexing / metadata,DATA_ADMIN,ten_e81aa238e48e96579514,"Contract for Services for Cataloguing of historical records in the National Archives, Ireland",buy_7b4090da8bd378c8c15c,Department of Culture Communications Sport,Ireland,Ireland,2025-10-17,2025-11-24,Creative / communications,Design / publishing,EUR,112000.0,,
Cataloguing / indexing / metadata,DATA_ADMIN,ten_dd275c25b6591f8bc447,Catalogage des données du système d'information pour Saint-Lô Agglo,buy_43708a74e1a1e79937c2,Saint-Lô Agglo,France,France,2025-10-15,2025-11-19,Creative / communications,Design / publishing,EUR,,,
Cataloguing / indexing / metadata,DATA_ADMIN,ten_d9113234287b4e6a021e,"Acquisition, prestations et maintenance d'une solution de catalogage de données (métadonnées) et de services",buy_37e9dbd5cc14bf71e9a0,Département de la Drôme,France,France,2025-02-07,2025-07-30,Creative / communications,Design / publishing,EUR,,,
Cataloguing / indexing / metadata,DATA_ADMIN,ten_2c41e3924329be0a6581,"Catalogage d'ouvrages et traitement de métadonnées, pour la bibliothèque de l'Institut national d'histoire de l'art, Paris 2e arrondissement",buy_beec1435c46d0a326377,"Etablissement public à caractère scientifique, culturel et professionnel (EPSCP)",France,France,2024-12-11,2024-09-12,Other,Services,EUR,,,
Cataloguing / indexing / metadata,DATA_ADMIN,bel_1b01dd1b9cdd69fccf4370b9,Public service contract regarding the development and management of a system for central cataloguing for the Dutch-language public libraries in Flanders and Brussels.,buy_4ffb7cb9cf00c043b22c84e4,Cultuurconnect,BE,Belgium,2024-11-21,2024-12-02,,,,,https://www.publicprocurement.be/publication-workspaces/6290f831-589d-4e71-a5e3-64a5a01d916c,
Cataloguing / indexing / metadata,DATA_ADMIN,ted_8d05736950305a983f22,Prior information notice - Framework agreement for used furniture,buy_581df20f038735ed5497,Stavanger kommune,NOR,TED,2024-10-16,,Creative / communications,Design / publishing,NOK,10000000.0,,
Copywriting / editorial content,CONTENT_DESIGN,ten_4c11e7d3cebd2b2cfed5,Mission de conception et de rédaction du magazine municipal,buy_2a6fd8b450e9078aa617,Mairie de Saint Mandé,France,France,2026-07-30,2026-04-09,Other,Services,EUR,,,
Copywriting / editorial content,CONTENT_DESIGN,bel_bace669955bc8ffe3179dd79,Marché portant sur des services de gardiennage pour Wallonie Bruxelles International (WBI) et l’Agence wallonne à l’Exportation et aux Investissements étrangers (AWEX),buy_e3dda26f709cb24a74ad5952,Wallonie Bruxelles International,BE,Belgium,2026-07-29,2026-09-02,,,,,https://www.publicprocurement.be/publication-workspaces/4ae2fcb3-a250-4025-b4a4-16214755436b,
Copywriting / editorial content,CONTENT_DESIGN,bel_69ae79e14072b31c140a51c6,Bureau d'études HVAC,buy_c0c17e331f95af0575418823,Partena-Mutualité Libre,BE,Belgium,2026-07-28,,,,,,https://www.publicprocurement.be/publication-workspaces/cc043960-8900-4f7e-9d07-88a0b5e6c232,
